item_name,item_description,id
receptacle20ahubbell part #hb53621,receptacle20ahubbell part #hb53621,1283
frozen mexican entreescorn dogs,burritosenchiladascorn dogs,1284
vents,vents,1285
labratory analysis,analysis of faunalremains and beads,1286
0435398 a10,amendment a10 extends term and increases budget,1287
training sessions for ftos and management,training sessions for ftos and management,1288
investigative servicesamdt #01,the amount of the agreement is hereby increased by 6 25420 and shallnot exceed 27 52050,1289
amendment 1 add 5 253 27100,amendment 1 adds 5 253 27100,1290
electric and gas cart rental,to provide electric and gas rental carts for the 2013 oc fair,1291
stew beef 257000010,stew beef 257000010,1292
various labelslot ,various removable labels,1293
ball bearing,ball bearingswheelbeltsleevehubspacer,1294
fire replacement,fire replacement,1295
fuel for equip 15r121,fuel for equip 15r121,1296
mixed vegetables,mixed vegs,1297
fire truck,fire truck,1298
student workbook,workbook designed to provide student with a quick review of concepts situational readingsand decoding practice,1299
dental supplies,syringe buttons orings lamp,1300
direct fired materialcrack filler75 boxes per pallet,direct fired materialcrack filler75 boxes per pallet,1301
apples,apples,1302
volt meterrf probe kit,volt meterrf probe kit,1303
ice bin,ice bin,1304
issuers counsel services,issuers counsel services,1305
hardware,palo alto networks pa3020,1306
canister,dispensing suction canisterkit w lid,1307
nokia cell phone,nokia cell phone,1308
avtec consoles for public safety,psc maintenance support for chp avtec communication console systems statewide,1309
14groc0430jt,poultry seasoning10oz,1310
laptops,add integrateed webcam,1311
adapter,hp flex10 10gb 2p 530m,1312
traffic signsexit w arrows,traffic signsexit w arrows,1313
steelgalvanized,steel,1314
backpack 17designed to fit laptops with screens up to 17,laptop backpack,1315
fuel for equip 14r270,fuel for equip 14r270,1316
rebuild kit swivel 3 4 chiksan#3181260,rebuild kit swivel 3 4 chiksan#3181260,1317
mop head,mop heads and various other cleaning items,1318
amd radeon hd 8490 1gb pcie x16 gfx,amd radeon hd 8490 1gb pcie x16 gfx,1319
fuel for equip 15r086,fuel for equip 15r086,1320
bulb,bulb,1321
solarwinds firewall security manager1st year maintenance,solarwinds firewall security manager1 year maintenance fsm80upto 80 managed devices license with 1st year maintenance,1322
forms,forms,1323
fuel for equip 02s354,fuel for equip 02s354,1324
laws of environmental protection,spring 2015 updates,1325
clin 100q6511xtoner cartridge,toner cartridges for isd,1326
nsxdsks1336gac sn 0315ai0720,73998,1327
boxed lunches,boxed lunches,1328
lunchmeat,lunchmeat,1329
1 yr software maintenance support renewal for heat,20heat maintenance support renewal1 year4 1 14 thru 3 31 151 heat self service1 year4 1 14 thru 3 31 15,1330
penrballrtg2gelfnbe,penrballrtg2gelfnbe,1331
cheese,americanprocessed cheddar monterey jack mozzarella parmesan,1332
rubber valve stem,rubber valve stem,1333
oil hyd iso32 chevron aw,oil hyd iso32 chevron aw,1334
amend to add funds and extend term,amend to add funds and extend term orig provide security services forcdss offices ,1335
sony cybershot digital camera,sony cybershot digital camerablackinc batterywrist strapacadapterusb cableinst man,1336
antenna,radio antennas mts 2000,1337
doughnut mix,raised doughnut mix,1338
tshirt men 5xlarge,tshirt men 5xlarge 4301000090 1st qt,1339
atherton counter chair,#6796010219,1340
toilet papervarious sizespackaging,1 plywhite1210 sheets roll80 rls case4 x 4051 plywhite1000 sheets roll96 rls case4 x 405 all are individually wrapped,1341
slit lamp 4034020700 sl2d 1e 2e 4 e 7 ,slit lamp 4034020700 sl2d 1e 2e 4 e 7 ,1342
bulk unleaded fuel,bulk unleaded gasoline,1343
2 3 hole punch,hole punch,1344
maintenance for additional channels,maintenance for additional channels,1345
software,articulate storyline 2,1346
self inking custom date stamp ,self inking custom date stamp ,1347
architectural engineering,architectural engineering,1348
hospital supply lot,water pitchersslipper sockslancetscathetersisolation gownselectrodes,1349
safenet tokens for citrixsw support,safenet tokens for citrixsw support,1350
mechanical pencils,pentel champ mechanical pencil05mmtransluscent gray barrel,1351
disposable food items,disposable food items containers lids spoons forks knives liner paper pan cover bun rack sandwich bags wrap plastic foilaluminum napkins,1352
stamp,stamp,1353
enzymatic carbonate rea cart,enzymatic carbonate rea cart,1354
plugs,plugs needed,1355
bag,bag,1356
25101604,lowbed transport to move heavy equipment to the robbers fire,1357
pencil sharpener,pencil sharpener,1358
po box service fee,po box service fee,1359
hp toner genuine blk 16k smart print,hp toner genuine blk 16k smart print,1360
ca ewaste recycling fee,ca ewaste recycling fee,1361
samsung galaxy tab s 16gb 105 tablet,notebook computers,1362
laboratory directorshi ,laboratory directorship,1363
aggregate baserock,aggregate baserock,1364
needle hypodermic 25g 1 1 2,needle hypodermic 25g 1 1 2,1365
0376184 a18,amendment 18 funding adj community based adult servicescbas ,1366
order #12mk0822se,batching miscellaneous food contract vendor invoices,1367
fence partsmaterialsclampsnutspanelsstrapsbandspostsand caps ,fence partsmaterialsclampsnutspanelsstrapsbandspostsand caps ,1368
marker highlighter 4 color set,marker highlighter 4 color set,1369
serial no 2239 lp82 ultra 50 60hzsilverzone 1,serial no 2239 lp82 ultra 50 60hzsilverzone 1efa8d000 ,1370
vantage chair square back with armsvinyleblack onyx,vantage chair square back with arms,1371
toners,toner ce413a,1372
lunch meatpoultry bolognacheese,1st quarter food orders,1373
forms,cdc 1066,1374
emergency tent,staging for fire crews on fire incident,1375
radio transmitter,radio transmitter,1376
subvention for expansion of ame programs,contractor will be using carlperkins funding to expand the network of artsmedia andentertainmentameprograms incalifornias public high schools and colleges in orderto connect and enhance the field ofpractitioners,1377
gamma sensor,gamma sensor,1378
emergency installation,emergency installation contract,1379
ess indexltr1 5man,ess indexltr1 5man,1380
hired local government,hired emergency local governmenttype 3 enginefor cahuu 004747,1381
blue ring terminal #10,blue ring terminal #10,1382
chevy tahoe cagesford super duty cages,chevy tahoe cagesford super duty cages,1383
fuel for equip 05s106,fuel for equip 05s106,1384
cmc 1400262 arjohuntleighpatient lift,cmc 1400262 arjohuntleighpatient lift,1385
contract,provide criminal offender record information,1386
best pins,100 per bag,1387
misc for equip 11r016,misc for equip 11r016,1388
date stamp,non selfinking date stamp to stock our warehouse,1389
adiem modules,adiem modules,1390
marketing outreach services,marketing outreach services,1391
office supplies,penscalculatorlabel tapehand sanitizer,1392
mx4141n,mx4141n,1393
leviton switch3 way,leviton switch3 way,1394
lancets,lancets,1395
cspsq food purchase,cspsq food purchase for pudding various 13 14 1st qtr,1396
valvesetc,valvesetc,1397
microphones,microphones,1398
architectural and engineering services,ae services to facilitate preparation of guardrails from 36to 60 at all flights of ten stairs located on vhcwest la,1399
rubber wheels,rubber wheels,1400
ergonomic supplies,morency board and magnifying glass,1401
department of energy weatherization assistance program,term extension,1402
fuel for equip 14r236,fuel for equip 14r236,1403
sutures,sutures,1404
vmware software supportprod sup infrastruc midsize accl 6 procone1year,vmware software supportprod sup infrastruc midsize accl 6 procone 1year #vimidakpssscr,1405
server storagehardwaresoftware and accessories,server storage devicedisk drivespower cordsoftwarecard and configuration,1406
small parcel delivery services,small parcel delivery services,1407
speciality meat processed with additions,jalapeno bologna bagel dogturkeyfully bakedchipotle bbq calazonewith jalapenosvegetarianfully baked,1408
shed,hazardous materials storage shed,1409
bar screen,bar screen,1410
body wash shampoo,body wash shampoo,1411
vmware ela,vmware ela,1412
rod gate,rod gate,1413
service and retirement awards,serviceand retirement awards,1414
business objects license,mitratech business objects designer user license,1415
software,isys integation kitinternal kit ,1416
dell 24 widescreen monitors,dell 24 widescreen monitors,1417
wheelchair treatement module,wheelchair treatement module,1418
live scan maintenance,contractor shall provide maintenance service for the department ofjusticedivision of law enforcementfacilities protection units lviescan system equipment located at our sacramento office,1419
every 15 minute program,every 15 minute program presentation,1420
chol calibrator,chol calibrator,1421
faxing expansion kit,wpc fax and inbound routing,1422
helebase management,management of helebase,1423
virtual desktop infra assessment,virtual desktop infra assessment,1424
asphalt,asphalt,1425
hp probook 6570b notebook pc,hp probook 6570b notebook pc,1426
cargo liners,cargo liners,1427
trauma plate,trauma plate,1428
magenta toner f color laserjet 3600 series,magenta toner f color laserjet 3600 series,1429
preexisting training,preexisting training,1430
R987,R987,1431
firering,fire ring w heat shield and shelf,1432
ground chicken beef patties,ground chicken beef patties,1433
hp 920 yellow officejet ink cartridge,hp 920 yellow officejet ink cartridge,1434
fluorescent lamp,t5 daylight6500k,1435
assistance for case management of leadpoisoned children,assistance for case management of leadpoisoned children,1436
weed killer,weed killer,1437
husky 16oz graphite hammer,husky 16oz graphite hammer,1438
13882251 symantec ess support v25,13882251 symantec ess support v25,1439
fence,2x4 nonclimb 60x100 stiff stay fence,1440
insulation,insulation,1441
farina,farina,1442
sign language intepreters,sign language interpreter services,1443
workstations,workstations,1444
lab supplies,capillary array,1445
toner,ce255x hp black tonerfor laser jet p3015 125k print,1446
fuel for equip 10r199,fuel for equip 10r199,1447
waste disposal services,waste disposal services,1448
exam gloves larg 46581300,exam gloves larg 46581300,1449
